user_id,signup_date,acquisition_channel,device_type,country,plan_type,funnel_stage,session_count,session_duration_min,features_used,support_tickets,user_feedback,satisfaction_score,upgraded,churned,onboarding_completed,bugs_reported,referral_count,trial_days_left,last_active_days
1,2025-10-17,Paid,Mobile,Canada,Free,Onboarding,4.0,25.0,2.0,0.0,It's fine for now,2.5,0,1,1,1.0,0.0,0.0,6.0
2,2025-06-24,Organic,Mobile,India,Free,First Feature Use,10.0,41.0,5.0,0.0,Love how everything is customisable,4.5,0,1,1,1.0,1.0,0.0,11.0
3,2025-08-02,Referral,Mobile,USA,Free,Sign-up,4.0,24.0,1.0,0.0,Still evaluating whether premium is worth it,2.5,0,1,0,0.0,0.0,0.0,3.0
4,2025-02-04,Organic,Mobile,UK,Free,First Feature Use,9.0,44.0,3.0,0.0,Easy onboarding experience,4.3,0,1,1,2.0,,0.0,12.0
5,2025-08-09,Referral,Mobile,USA,Free,Landing,2.0,,0.0,1.0,No dark mode,1.6,0,1,0,0.0,0.0,0.0,5.0
6,2025-02-24,Organic,Desktop,USA,Free,Landing,1.0,6.0,0.0,0.0,No dark mode,1.6,0,1,0,0.0,0.0,0.0,4.0
7,2025-10-28,Paid,Desktop,India,Basic,First Feature Use,5.0,58.0,5.0,0.0,Similar to other tools,3.8,0,0,1,1.0,0.0,1.0,18.0
8,2025-12-15,Paid,Mobile,UK,Free,Sign-up,2.0,13.0,0.0,1.0,Customer support unhelpful,1.1,0,1,0,0.0,0.0,0.0,2.0
9,2025-08-10,Paid,Desktop,USA,Free,First Feature Use,7.0,48.0,6.0,1.0,Average experience so far,3.7,0,1,1,1.0,0.0,0.0,7.0
10,2026-02-09,Organic,Tablet,India,Basic,First Feature Use,9.0,48.0,7.0,1.0,Helped our team productivity,4.3,0,0,1,1.0,0.0,6.0,5.0
11,2025-08-13,Paid,Mobile,USA,Basic,Onboarding,5.0,27.0,3.0,1.0,Ok for basic use,3.2,0,0,1,0.0,0.0,10.0,8.0
12,2025-01-21,Organic,Mobile,USA,Premium,Upgrade,23.0,106.0,17.0,0.0,Worth every penny,4.9,1,0,1,1.0,0.0,0.0,29.0
13,2026-03-05,Paid,Mobile,USA,Free,Onboarding,3.0,30.0,2.0,0.0,Works most of the time,3.4,0,1,1,0.0,0.0,0.0,10.0
14,2025-07-15,Paid,Desktop,Germany,Free,First Feature Use,5.0,66.0,3.0,3.0,Decent but not great,3.9,0,1,1,1.0,0.0,0.0,7.0
15,2025-01-22,Referral,Desktop,Germany,Premium,Upgrade,14.0,100.0,7.0,1.0,Worth every penny,4.5,1,0,1,0.0,0.0,0.0,23.0
16,2026-02-17,Paid,Desktop,USA,Basic,Onboarding,7.0,20.0,2.0,0.0,"Works as expected, nothing special",3.9,0,0,1,2.0,1.0,11.0,5.0
17,2025-01-23,Organic,Mobile,USA,Free,Landing,1.0,9.0,0.0,0.0,Data sync is unreliable,2.1,0,1,0,0.0,0.0,0.0,5.0
18,2025-06-25,Paid,Desktop,UK,Free,First Feature Use,7.0,57.0,3.0,1.0,Standard SaaS experience,3.8,0,1,1,4.0,0.0,,3.0
19,2025-05-13,Paid,Mobile,India,Free,Sign-up,4.0,,,0.0,Decent but not great,3.4,0,1,0,0.0,1.0,0.0,4.0
20,2026-04-26,Referral,Mobile,USA,Basic,First Feature Use,11.0,53.0,4.0,0.0,Simple and effective design,4.9,0,1,1,0.0,0.0,0.0,19.0
21,2025-01-24,Referral,Mobile,USA,Basic,Onboarding,3.0,,,1.0,Basic features work fine so far,3.0,0,0,1,0.0,0.0,12.0,4.0
22,2025-01-29,Paid,Mobile,Canada,Basic,First Feature Use,9.0,43.0,3.0,0.0,Highly recommend to other teams,4.4,0,0,1,0.0,0.0,1.0,12.0
23,2025-02-11,Organic,Desktop,UK,Free,Landing,1.0,5.0,0.0,1.0,Frequent downtime,1.2,0,1,0,1.0,0.0,0.0,6.0
24,2025-01-30,Paid,Desktop,USA,Free,Onboarding,3.0,44.0,3.0,0.0,Will evaluate again next month,3.8,0,1,1,0.0,0.0,0.0,3.0
25,2025-07-06,Paid,Tablet,UK,Premium,Upgrade,20.0,92.0,10.0,0.0,Integration with Slack was seamless,4.7,1,0,1,0.0,0.0,0.0,28.0
26,2025-06-27,Referral,Mobile,USA,Free,Sign-up,4.0,15.0,1.0,0.0,Good enough for my use case,3.4,0,1,0,2.0,0.0,0.0,1.0
